id,logit_joy,logit_fear,logit_anger,logit_surprise,logit_sadness,logit_disgust
0x61fc95,5.336599,0.5618632,1.590197,-1.822007,-2.3783555,-2.496643
0xaba820,1.6195647,1.124445,1.0164188,0.6701003,-2.2642305,-2.3110116
0x66e44d,7.2218556,-3.5011234,-0.926789,0.06757619,-0.13863032,-3.1061332
0xc03cf5,8.383157,-2.5999432,-0.47395614,-0.68665665,-1.3586595,-2.4214046
0x02f65a,3.8752632,-2.8886192,2.3370423,-3.2556956,-0.86493033,0.8818285
0x479407,7.8627696,-3.1242566,-1.0810927,0.42849797,-1.0263767,-2.997086
0xe07a21,-2.3461983,7.5167704,-0.59364444,-2.145209,-1.0297387,-1.4088382
0x06d186,7.3108683,-2.9600492,-0.3610495,-1.2702205,-1.1836171,-1.2528251
0xa9a658,-2.5095103,-2.0841672,6.888651,-2.023733,-1.7167704,-0.2695596
0x0a0102,5.9094477,-2.7282903,-1.836343,-1.5028878,2.6413932,-2.0092654
0xc32edf,-0.74202067,-3.410826,6.476493,-2.662742,-1.4459145,0.93022656
0x198b91,-1.1121687,-3.8239338,5.083836,-2.8714411,2.1721263,-1.1806674
0x745c66,-1.0552834,-2.1099715,0.44691992,-4.131432,1.6545976,5.574422
0xb41434,-0.62625945,-2.2208586,6.7774677,-3.4796925,-2.1238275,1.0013528
0x75fc2c,5.5704865,2.6393182,-1.7252477,-0.87389886,-2.6088724,-2.1814103
0x4cfc30,0.58604413,-1.7843531,1.3811108,-4.6390467,1.124324,4.6064467
0x82e70d,8.227343,-1.4078262,-0.7661249,-1.5529569,-1.2120374,-1.6555041
0x48b7ea,-0.8604465,-1.9869657,7.326919,-2.1495576,-2.2491026,-1.3170443
0x5907df,7.3090787,-2.5016892,-0.36169302,-0.2334949,-1.7387977,-1.4003094
0x16d325,5.51583,-2.1100116,2.7861001,-2.0671003,-2.230657,-1.9246086
0xdcf537,-2.9349475,-1.2852961,5.2844567,0.78699106,-2.371593,-1.1382309
