id,logit_joy,logit_fear,logit_anger,logit_surprise,logit_sadness,logit_disgust
0x35663e,7.239748,-2.5386682,-1.0006175,0.8334739,-0.74428153,-3.3207092
0xc78afe,-2.2645662,5.9953585,-0.099790476,-2.5763268,-0.1635229,-1.2188897
0x90089c,7.086951,-3.1262996,-1.3407992,1.9793527,-1.3360544,-2.717942
0x2ffb63,8.480902,-2.0332863,-0.66768,-0.7952168,-1.5930871,-2.012134
0x989146,0.7350868,-3.4163454,2.1955595,-2.61924,1.1754749,1.0395119
0x111ebf,-0.07619621,-3.677639,6.1284995,-2.7618442,-0.6291332,-0.6109268
0xb9a96c,0.55861217,-3.717557,5.0035357,-3.8105824,0.45049486,1.176951
0xcc5e81,7.8684626,-1.3000785,-1.0153438,-0.6556819,-0.9529907,-2.909129
0x08f6d6,8.351442,-2.2213018,-0.88397855,-0.98309016,-1.0193188,-2.0176954
0xb855e1,-1.0279396,-1.7343724,6.221019,-3.6294541,-2.3072205,2.2573864
0xaa3a20,8.166865,-2.9817643,-0.42492995,-0.85848707,-1.2497721,-2.1007059
0x784799,-0.51099,-3.8509715,5.896848,-2.5278726,-1.0256811,0.4422713
0xd64e57,-1.96473,-0.27212852,0.2609324,1.5932713,-0.3255358,0.5698202
0x77f7de,7.517168,-1.6727978,-0.98420024,-0.8439243,-1.3188407,-2.5368009
0x0efb36,-1.6572814,-3.4389384,6.008579,-2.8824418,-0.8957509,1.6795982
0xd97dc1,8.52597,-2.1593704,-0.5574505,-1.0458986,-1.4516888,-2.2417445
0x5bbbaf,6.7521486,-3.0162845,0.09455908,-1.1022439,-0.78444445,-2.3611298
0x0f6fe1,7.8087444,-2.1163385,0.13803895,-2.232945,-1.4410481,-1.1460763
0x63778f,7.319841,-3.2979326,-0.24494402,-0.4238548,-0.5473344,-3.005698
0x5ab56d,4.7983923,-0.21551037,-1.3383962,-2.6733258,-0.6242535,1.6628102
0xc17678,6.745375,-3.5241613,1.0360781,-1.7603627,-0.91487634,-0.72897995
0x608869,-1.0242448,-1.6866852,-0.70174235,6.9259477,-2.0559115,-1.389945
0xa41842,-0.019916585,-1.5034966,-0.97776675,7.0195723,-2.5659733,-1.8798918
0x6b3627,-0.2570477,6.637893,-1.5035987,-0.9995134,-1.9064449,-1.2380693
0xf2c061,5.9073,-1.4860594,-0.95346177,-0.3903541,-0.5207089,-2.9072964
0xa0d2b5,8.202763,-2.4177158,-0.8945364,-0.6084581,-1.2073114,-2.4330206
0xa8a536,8.012049,-2.7594733,-1.0267713,0.275,-1.238818,-2.921722
0xf6092f,7.3186736,-1.2499641,1.3238517,-2.4423099,-1.8551704,-1.6510782
0xc39185,1.2730206,-2.2996447,-2.1966548,-1.9631673,5.9390078,-1.3219551
0xa2e767,-1.5376562,-3.3042188,5.1447306,0.15424074,-2.1026793,-0.11839108
0xdcb12d,7.119086,-2.8608053,-1.1016724,1.4368112,-1.25871,-3.1077623
0x7d8c89,4.0135646,-2.6077523,-0.3026054,-0.15007408,-0.4910476,-1.5961871
0xebf370,-1.262472,-3.2402122,6.824239,-2.095968,-1.2512819,-0.4673909
0x5a52b9,-2.354079,-3.025794,6.084113,-1.9433612,-1.0265323,0.8198492
0x583ce2,6.930302,-3.2808304,-0.7536807,-1.7592766,0.8199027,-1.9808478
0x54afc3,0.39153484,-3.462994,5.555999,-3.5637627,-0.23974684,1.029234
0xa794c1,8.010597,-2.8256755,-0.08790815,-1.1654747,-1.3454298,-1.7554646
0x787ff9,-1.5759367,-3.5311785,6.282901,-1.4650003,-0.9739993,-0.8065501
0x05ff68,8.278497,-1.7890427,-1.1396698,-0.94460386,-0.7755383,-2.353369
0x3931ad,6.4597616,-3.6997356,-0.59486055,0.6332038,-1.2942121,-0.28699535
0xc81672,8.172345,-0.9109408,-1.1868775,-1.3864663,-0.8656721,-2.2093983
0x17646e,-1.6484901,-1.1948842,0.3269416,6.0173893,-2.6253095,-1.718344
0x145c99,-0.8633984,7.084109,-1.5523978,-1.5674958,-1.5627427,-0.9440322
0x3ed9e0,7.4507356,-3.058582,0.23334803,-1.1460214,-1.0911803,-2.4177773
0xa413f7,8.274042,-2.582444,0.05609702,-0.7902718,-1.4230034,-2.026413
0x6c2c68,7.6775312,-2.2650745,-1.1782384,0.61917144,-1.2216815,-3.04469
0x5025d6,7.568918,-3.1101694,-0.13701129,-1.2149116,-1.0597109,-1.853218
0xab20d5,8.177925,-2.069428,-0.5361753,-1.1906592,-1.4252069,-1.9825747
0xc4a501,-1.5662991,-3.3986878,4.6849313,-2.1015742,0.28773773,0.75648904
0xda3368,8.023791,-3.1228898,-0.96080124,0.04836111,-0.8277795,-2.9540098
0xb25068,8.337499,-2.445093,-0.29314134,-0.9906187,-1.4048387,-1.8609477
0xbc0fef,1.2137394,-2.162022,-1.5073495,6.9822755,-2.175433,-1.4145777
0x5fd03b,-0.44255096,-2.5565822,4.90189,-2.0117044,-0.63277984,-0.026347568
0xb3c4d5,-1.1418084,6.897539,-1.0920948,-1.0606316,-1.4831544,-2.197228
0xa6d431,-1.8518394,-3.1678693,3.6128829,-3.3605115,2.8878646,0.18799314
0xedee99,2.1340127,-2.327748,-1.5466009,6.253357,-1.6730161,-2.8923042
0x745344,-1.6909811,-2.554278,6.6743474,-1.6989299,-1.3739768,-1.2544718
0x5f0242,8.25752,-2.4405677,-1.2005277,0.018256564,-1.3025981,-2.5139003
0x358594,4.3250217,-2.9450855,0.51577497,-0.108786054,-0.74361247,-2.695927
0x925dae,1.7406478,-0.6599449,-1.6436313,4.181808,-0.76182723,-2.9549294
0x7b3a81,7.82163,-1.9959846,-1.3617091,-1.2153974,0.09501118,-2.4275365
0xe1add2,6.7987356,-4.0591636,0.28356966,0.107767954,-0.9515966,-2.9074075
0x99e889,-1.0252305,-2.9737704,6.890384,-2.1953294,-1.3655566,-1.1694487
0xbdf2c5,2.097591,-2.7595637,-0.91039455,6.076027,-1.7917901,-2.9524546
0x11449a,5.4815907,-3.094864,1.5269693,-1.1791277,-1.8608977,-0.83985925
0x749b94,-3.379293,0.7667543,5.0983987,-2.500473,-0.8791799,-1.5940851
0x001058,8.351448,-1.8455966,-0.46299908,-1.8769027,-1.3778061,-1.3337255
0x76061e,-1.2837516,0.37099728,-2.0900028,-1.950338,5.553333,-1.028987
0xedd663,0.67659813,-1.2107289,-1.4855934,6.5723934,-1.6112115,-3.3530288
0x6c7be0,-0.16446109,-3.7148795,6.1425247,-1.965289,-1.3508295,0.11841888
0x892047,0.3284855,-4.0165424,2.2477078,-2.7467449,3.8043318,-0.83736944
0x74870b,-2.560014,-1.3157158,6.535679,-1.9997343,-1.1419121,-1.1950538
0x3d99f1,6.9480863,-3.9306014,-0.7369069,0.8241615,-0.9634611,-2.8427997
0x08ca86,6.308379,-4.3643494,0.62080175,-0.85214967,0.24748552,-2.7392788
0x9d65da,8.533577,-2.1314976,-0.89875525,-0.5403379,-1.5336765,-1.8745438
0xe5f444,8.44269,-1.7446218,-0.90541106,-1.072899,-1.3241063,-1.889025
0xc6d39f,6.7517543,-3.6349702,-0.5554999,0.5541958,-0.26373717,-3.3401043
0x4a956b,8.171255,-2.8747094,0.15935142,-1.011815,-1.7436968,-1.9254386
0x3ba5b5,5.9917965,-1.3164829,-1.3280431,1.1423384,-1.0298909,-3.217542
0x98ad68,-0.27344146,-2.3351064,0.28017893,-1.0384469,5.6921515,-3.8535316
0xc4fb7c,8.185127,-2.759772,-0.49597606,-0.92424893,-1.4895096,-1.4555197
0xc3f67e,-1.0188546,-4.1197605,4.4920907,-1.5888283,1.3033439,-1.5776632
0x3e4579,8.254879,-2.0648801,-1.2924529,-0.24277525,-1.4313434,-2.1812499
0x9284d9,8.065126,-2.4434514,-0.29946584,-1.0188482,-1.6950727,-1.9051833
0xd22ff8,6.869687,-2.773379,-0.1580204,-0.5372936,-1.5996622,-2.0114813
0x34e51b,8.429065,-2.6436236,-0.5075961,-0.7751963,-1.3637654,-2.2358913
0xc61d31,7.7204223,-3.7013836,-0.99708664,0.7812979,-0.7724878,-3.062087
