id,logit_joy,logit_fear,logit_anger,logit_surprise,logit_sadness,logit_disgust
0x61fc95,1.464736,2.8734412,0.74563897,-1.4906082,-2.02825,-2.1537583
0xaba820,-1.210726,5.0303016,0.45445445,-1.8735301,-0.90671813,-0.9951313
0x66e44d,5.55422,-3.2318304,-0.65219283,0.26819623,-0.4016023,-3.044601
0xc03cf5,6.7383657,-2.804717,-0.87514263,-0.37467068,-1.4160666,-2.9003794
0x02f65a,1.756366,0.20716621,-0.14847843,-0.475465,0.5479029,-1.6246946
0x479407,6.2074127,-2.6431363,-1.2582953,0.3343512,-1.4043252,-2.8585274
0xe07a21,-1.0172281,5.192539,-0.5042013,-2.1857953,-0.11864755,-0.8401469
0x06d186,4.7421265,-2.3554912,1.0988388,-1.7311978,-1.0065838,-1.5487189
0xa9a658,-2.4586618,-1.9654617,4.9919734,-0.7060017,-0.95293915,-0.036485683
0x0a0102,5.227378,-1.8295586,-1.5781785,-0.5776397,-0.32877743,-2.271339
0xc32edf,-1.3170747,-2.968737,5.312196,-1.4036771,-1.225636,0.34408382
0x198b91,0.08776976,-3.4348154,2.6679857,-1.048191,1.976843,-0.61317545
0x745c66,-1.8038343,-1.1398336,2.8552325,-3.2008884,0.26660427,2.2162948
0xb41434,-1.2414727,-1.9623191,5.1959043,-2.3322434,-1.6468416,0.62189585
0x75fc2c,2.41942,2.9622414,-1.4275346,-0.57178265,-2.166099,-1.8108526
0x4cfc30,2.1758108,-1.5645344,0.14199509,-2.9002228,1.040705,0.16083814
0x82e70d,5.900432,-1.5900773,-1.2405764,-0.9716589,-1.7947536,-1.7198846
0x48b7ea,-1.7062434,-2.2610154,5.388818,-0.88828486,-1.6463332,-0.123302825
0x5907df,4.7680416,-2.6732855,-0.22808166,1.5754658,-1.407701,-3.3780754
0x16d325,4.5057817,-2.0069027,1.0306846,-1.2299658,-1.3089021,-2.100746
0xdcf537,-2.3929753,-1.8883948,4.947578,-0.46787968,-0.8749641,-0.46335486
0x574ebe,6.618811,-2.8871515,-1.2273011,0.14650752,-1.517456,-2.8863416
0x63305f,0.16387872,-0.37582788,-0.93725216,1.7384987,1.9986498,-3.0888214
0xb9201b,4.660036,-3.2343783,0.5529418,1.7854811,-2.1184034,-3.2578287
0x5ec84b,1.7523893,-2.2953691,1.4545068,-1.5571357,0.012543118,0.29221648
0x44c4cc,6.9704576,-2.55329,-1.1138096,-0.6555918,-1.8173201,-2.5744114
0xf4e662,-0.6254595,-1.4801042,3.4740496,-3.3502746,-1.3224199,1.5219786
0x4bd129,-1.0621816,3.6871538,0.9317312,-1.4338746,-0.41915143,-1.1475589
0x894c0a,2.649408,2.446102,-0.4425537,-1.0455925,-1.5425975,-2.1885314
0xe1b416,2.3669798,-1.8759611,3.0608225,-2.526242,-1.7341875,-0.6989078
0xe0fe3b,2.4572647,-1.5164119,1.0032042,-1.677113,0.10056385,-0.78885186
0xf176ac,5.866908,-2.4346979,-1.1833007,0.55008554,-1.6249757,-2.772879
0x93623a,3.2617147,-2.2917807,1.2418348,-0.87039554,0.39455032,-2.3177958
0x0a47d7,-1.7438452,-1.2108662,5.302465,-1.6273941,-1.3044399,-0.3815383
0x710f5d,-0.76655066,-2.2549722,2.4269729,3.1355662,-1.8862405,-1.7486422
0x54f010,0.55911064,-2.9162552,4.633788,-0.72201276,-1.5116506,-1.3203837
0xbe9b73,6.743824,-2.8341749,-1.3358891,-0.052462917,-1.5649067,-2.7651715
0x16a031,0.26074332,-0.78360975,1.5894033,-0.93795466,0.6399905,-0.9161599
0x021a30,6.6252627,-2.6426344,-0.9048208,-0.5206934,-1.4871948,-2.7606606
0x37c7bd,5.7926807,-1.5268725,-0.48748836,-2.0405233,-1.860481,-1.1227494
0x1b2fde,-1.9554217,-1.6934884,5.0297656,-0.80416167,-1.7137256,-0.37388957
0xc82679,4.930292,-2.787209,0.75013924,-0.4677813,-0.89463323,-2.3802686
0xe0766e,2.4190361,0.24499771,0.011422478,0.87341917,-0.88073015,-2.8892112
0xcd1f6c,-1.8472712,-2.1675315,5.144952,-1.2817582,-0.72372746,-0.27339202
0x9023c3,1.2667623,-1.6745868,-1.373452,-0.6137698,3.461958,-2.148584
0x4ceb54,1.9501896,-2.8810604,-0.9997165,4.6234384,-1.8525567,-3.1914542
0x79685b,6.8867,-2.5781481,-1.4397151,-0.49685663,-1.5663283,-2.7002695
0x4b1299,0.1954319,-2.4729166,0.9354132,3.2057014,-1.1151962,-1.8386874
0x280720,4.0514255,-1.5594375,-0.39084047,-0.18530305,0.03200175,-2.61663
0x8d0a46,0.50041807,-2.1326888,-0.7485951,4.9908395,-2.3637123,-2.6261446
0xbfeb03,5.8200707,-3.277032,-1.4818983,1.7562954,-1.7038143,-3.3222075
0xe3e515,4.184372,0.9655609,-0.06292503,-0.87592083,-2.0289166,-2.398546
0x0db36b,3.3550022,-3.4171278,-0.5836183,3.401772,-1.1493866,-3.6642826
