id,logit_joy,logit_fear,logit_anger,logit_surprise,logit_sadness,logit_disgust
0x35663e,4.739391,-2.7480865,-0.079116926,1.3240477,-1.1478866,-3.2326608
0xc78afe,-1.7964162,3.8170283,0.48855624,-1.3942703,0.81462365,-1.1628665
0x90089c,1.988589,-2.3157163,-0.094730176,1.9841124,0.15062068,-2.5567513
0x2ffb63,6.6510663,-2.242845,-1.5315626,-0.3333146,-1.4933294,-2.7214792
0x989146,-0.10680477,-2.2190537,0.941258,-1.4092088,1.7863744,0.78289413
0x111ebf,0.8670486,-3.706557,4.47758,-1.4030664,-0.6023755,-0.94203895
0xb9a96c,-0.03771266,-3.4338517,3.7569637,-1.9007591,0.33721116,0.39179978
0xcc5e81,6.038752,-2.32323,-1.8121257,0.14204037,-0.9453722,-3.0482426
0x08f6d6,5.5526013,-2.6958737,-0.84237623,1.259379,-1.9087731,-3.01183
0xb855e1,1.3557996,-1.4680635,2.8382726,-3.3320892,-2.0670059,1.0464671
0xaa3a20,5.6914854,-2.7732353,-0.5296703,-0.71216977,-0.46716946,-2.580352
0x784799,0.31546,-2.886094,2.829185,-1.5688932,0.085219085,0.82028764
0xd64e57,-1.7688696,-0.17736065,0.48188668,0.7015119,-0.39867857,1.0673271
0x77f7de,6.10003,-2.807056,-0.8744569,0.096323036,-1.3013679,-2.9092433
0x0efb36,-1.868293,-2.525898,4.0052757,-1.8414304,-0.15607978,1.75348
0xd97dc1,6.716688,-2.474256,-1.2081181,-0.6797611,-1.4593443,-2.5502462
0x5bbbaf,4.0494056,-2.4512062,0.8768273,-0.890598,-1.0709945,-1.3036609
0x0f6fe1,3.0890486,0.091893,0.56027174,-3.3638985,-2.0197923,0.42856055
0x63778f,4.7877235,-2.9144201,0.2188807,1.1605129,-1.3148985,-3.1748185
0x5ab56d,3.8037632,-0.28001896,-0.42872232,-2.8521445,-0.6909989,-0.16667521
0xc17678,2.667459,-3.943071,2.753285,-0.24777345,0.24601786,-2.223434
0x608869,-1.4947096,-0.92947286,-0.3389625,4.1936374,-0.97525066,-1.8133382
0xa41842,-0.9869665,-0.8474778,-0.4225261,4.6626387,-2.1994755,-2.030453
0x6b3627,-0.22899806,4.480793,-0.805751,-0.42956173,-1.3610733,-1.6925652
0xf2c061,3.5878322,-2.1979473,-0.6406837,1.5544392,-0.7532687,-2.5211604
0xa0d2b5,5.1305933,-1.7700578,-1.0993532,0.61788404,-1.4883139,-2.6565022
0xa8a536,6.3349996,-2.8489468,-1.178511,0.5210334,-1.4501855,-3.1637928
0xf6092f,4.089492,-2.6160283,1.7605841,-0.9022785,-1.4512638,-2.2610705
0xc39185,0.49530202,-1.2356825,-1.0149168,-1.4709343,4.0581884,-1.4070913
0xa2e767,-1.4368743,-2.9282286,4.1411705,1.438084,-1.3061805,-0.9214547
0xdcb12d,3.4294791,-2.154791,0.0038489713,1.6840587,-0.9226436,-2.9066556
0x7d8c89,4.8824277,-1.8881067,-0.40726522,0.66245985,-0.93410164,-3.2486296
0xebf370,-0.9871739,-3.014125,5.124683,-0.8670759,-0.10861015,-0.9848462
0x5a52b9,-2.4461112,-1.6340239,4.164427,-1.4588058,0.17941608,0.4845655
0x583ce2,5.1851482,-2.491855,-0.0015032518,-0.94853914,-0.1679028,-2.6163557
0x54afc3,0.066179305,-3.2696364,4.1098137,-1.4815732,-0.2615241,0.12657833
0xa794c1,6.551201,-3.230919,-1.3374212,0.57551515,-1.6618762,-2.9478211
0x787ff9,-0.9745662,-3.3530114,4.0443316,-0.16061448,1.1533903,-1.245446
0x05ff68,5.8407507,-2.2141807,-1.2809105,0.11873845,-0.9577542,-3.06341
0x3931ad,2.9117782,-1.8723147,1.0586362,-2.5173664,-0.68515134,0.6913848
0xc81672,5.7366457,-1.3089992,-1.0477357,-1.3234202,-0.7539309,-2.5904071
0x17646e,0.46505162,-0.7191777,-0.43065163,3.7679768,-0.71923834,-3.2068143
0x145c99,-0.5566002,4.841564,-0.36870816,-0.9646687,-1.3440514,-1.2773393
0x3ed9e0,6.1998506,-2.6834254,-0.5104841,-0.5080431,-1.5468616,-2.3022873
0xa413f7,5.9960947,-3.1529214,0.20168808,-0.33519667,-1.581806,-2.6919298
0x6c2c68,5.5842066,-2.407521,-0.753319,1.0269315,-1.503656,-3.417796
0x5025d6,5.5910196,-3.4293535,0.1251473,0.23694785,-1.0930871,-2.896745
0xab20d5,5.3231597,-1.7847241,-0.3153631,-0.24520482,-1.6979536,-2.269848
0xc4a501,-0.39047602,-3.1831782,2.4151378,1.2455598,-0.8322071,-0.2505693
0xda3368,6.1523113,-3.1013017,-0.590862,-0.18052016,-1.0938551,-2.9233449
0xb25068,6.179683,-2.8876812,-0.4452496,-0.09087249,-1.5065051,-2.7818635
0xbc0fef,3.070751,-2.6647487,-1.1028378,4.0399876,-2.2469077,-3.1565707
0x5fd03b,-0.42738667,-1.7069073,2.7846634,-0.778616,1.1633977,-1.0261879
0xb3c4d5,-0.6707572,3.6324704,-0.4557755,-1.8121357,1.3252376,-1.7254534
0xa6d431,2.0728385,-2.0505736,-0.19055408,-1.1306113,2.9903812,-2.2725408
0xedee99,3.2682858,-2.9890592,-1.1210954,3.6172545,-1.0808989,-3.6113343
0x745344,-0.4977482,-2.5231338,4.6615186,0.23946601,-1.0932513,-1.616676
0x5f0242,6.3022327,-3.0543604,-1.4022449,0.67012364,-1.4829268,-2.9882681
0x358594,3.6372902,-1.9417175,-0.032410946,1.2813768,-0.557254,-3.0559523
0x925dae,3.3132436,-0.8630171,-1.085799,1.0294876,0.100718245,-3.11302
0x7b3a81,5.5080576,-1.6607587,-0.9559147,-1.5186956,-0.26205957,-2.2948658
0xe1add2,5.01288,-2.9280045,1.0482429,-1.0337231,-0.4838266,-2.4624214
0x99e889,-0.90438485,-2.0053396,3.8163729,-1.2123855,1.4814949,-1.3677677
0xbdf2c5,1.2012782,-2.7120876,-0.45903543,3.6867313,-0.47877753,-2.7747083
0x11449a,3.6461246,-3.5749147,1.0092785,0.9651364,-1.3097528,-1.9429394
0x749b94,-0.6676299,-0.45514634,2.8331084,-1.6840686,0.74687415,-0.725683
